family,case,tail_ratio,passes,seed,pass_estimate,pass_absolute_error,mean_estimate,mean_absolute_error,empirical_sd,empirical_stderr,pass_runtime_s,mean_runtime_s,total_runtime_s,max_peak_rss_mb,pass_max_importance_multiplier,max_importance_multiplier,pass_max_post_truncation_abs_coefficient,max_post_truncation_abs_coefficient,reference
clifford_t,ct_n20_d12,1.00,1,202707160301,0.33128348963959597,0.0017627269500989917,0.33128348963959597,0.0017627269500989917,,,0.818521729,0.818521729,0.818521729,87.242,136.51740009777879,136.51740009777879,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,2,202707160302,0.32686882228216652,0.0026519404073304664,0.32907615596088124,0.00044460672861573736,0.0031216412251212659,0.0022073336787147291,0.976624799,0.897573264,1.795146528,87.242,111.3235618530119,136.51740009777879,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,3,202707160303,0.33136325877653555,0.0018424960870385698,0.32983852356609938,0.00031776087660240204,0.0025721460039520019,0.0014850291877767086,0.964384724,0.919843751,2.759531252,87.242,535.44050364166139,535.44050364166139,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,4,202707160304,0.33196453793079322,0.0024437752412962421,0.33037002715727282,0.00084926446777583431,0.0023538495378461807,0.0011769247689230903,0.900976776,0.915127007,3.660508028,87.242,731.42479493196208,731.42479493196208,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,5,202707160305,0.32297905459017318,0.0065417080993238064,0.32889183264385291,0.00062893004564407162,0.0038833942412067695,0.0017367067013539102,0.859538390,0.904009284,4.520046418,88.199,1283.4899045416425,1283.4899045416425,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,6,202707160306,0.33292016241173467,0.0033993997222376837,0.32956322093849982,4.2458249002841342e-05,0.0038430683209180736,0.0015689260721506323,0.777958298,0.883000786,5.298004716,88.199,208.90677365910406,1283.4899045416425,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,7,202707160307,0.32596714628558388,0.0035536164039131068,0.32904949598808331,0.0004712667014136751,0.0037623182178191132,0.001422022622491016,0.881777450,0.882826024,6.179782166,88.199,1532.6851137511262,1532.6851137511262,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,8,202707160308,0.33538758521391226,0.0058668225244152827,0.32984175714131192,0.00032099445181493769,0.0041417764199167652,0.0014643390963408431,0.981991700,0.895221733,7.161773866,88.199,578.031136405908,1532.6851137511262,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,9,202707160309,0.33230884761687313,0.0027880849273761443,0.33011587830526312,0.00059511561576613969,0.0039605939751810081,0.0013201979917270028,0.988627754,0.905600180,8.150401620,88.199,333.87421768959729,1532.6851137511262,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,10,202707160310,0.32999929977467113,0.00047853708517414661,0.33010422045220394,0.00058345776270696259,0.0037342657851657515,0.0011808785269560788,0.790635405,0.894103703,8.941037025,88.199,110.2924550187788,1532.6851137511262,1,1,0.32952076268949698
