family,case,tail_ratio,passes,mean_estimate,abs_error,empirical_sd,empirical_stderr,mean_runtime_s,total_runtime_s,max_frontier_memory_mb,reference
clifford_t,ct_n20_d12,0.05,1,0.3312766895818646,0.0017559268923676,,,4.130384114,4.130384114,41.02606201171875,0.3295207626894969
clifford_t,ct_n20_d12,0.05,2,0.330056898434059,0.000536135744562,0.0017250451844893,0.0012197911478055,4.333357714,8.666715428,41.02606201171875,0.3295207626894969
clifford_t,ct_n20_d12,0.05,3,0.3298446017699568,0.0003238390804598,0.0012740094446399,0.0007355496958129,4.1873420386666655,12.562026116,41.071334838867195,0.3295207626894969
clifford_t,ct_n20_d12,0.05,4,0.3296773388776633,0.0001565761881663,0.0010926912695609,0.0005463456347804,4.2231136425,16.892454569999998,41.098342895507805,0.3295207626894969
clifford_t,ct_n20_d12,0.05,5,0.3298185146718319,0.000297751982335,0.0009975638737577,0.000446124126724,4.3589126966,21.794563483,41.308135986328125,0.3295207626894969
clifford_t,ct_n20_d12,0.05,6,0.3299672626816365,0.0004464999921395,0.0009637752685694,0.0003934596057848,4.355398841,26.132393046,41.39849853515625,0.3295207626894969
clifford_t,ct_n20_d12,0.05,7,0.3299517507786398,0.0004309880891428,0.0008807591276074,0.0003328956595142,4.496814157,31.477699099,41.39849853515625,0.3295207626894969
clifford_t,ct_n20_d12,0.05,8,0.3300918188432479,0.0005710561537509,0.0009065702523934,0.0003205209865447,4.46319176625,35.70553413,41.39849853515625,0.3295207626894969
clifford_t,ct_n20_d12,0.05,9,0.3300451373533003,0.0005243746638033,0.0008595047255499,0.0002865015751833,4.514820841444444,40.633387573,41.39849853515625,0.3295207626894969
clifford_t,ct_n20_d12,0.05,10,0.3300657941652925,0.0005450314757955,0.0008129774040383,0.0002570860283012,4.5740489016,45.740489016,41.39849853515625,0.3295207626894969
clifford_t,ct_n20_d12,0.1,1,0.3301416407235336,0.0006208780340366,,,6.804331044,6.804331044,42.888427734375,0.3295207626894969
clifford_t,ct_n20_d12,0.1,2,0.3298870008741416,0.0003662381846447,0.0003601151285307,0.0002546398493919,6.0961199875,12.192239975,42.888427734375,0.3295207626894969
clifford_t,ct_n20_d12,0.1,3,0.3298832636998457,0.0003625010103487,0.0002547221080187,0.0001470638776331,5.5316587010000005,16.594976103,42.888427734375,0.3295207626894969
clifford_t,ct_n20_d12,0.1,4,0.3296013613796026,8.05986901056821e-05,0.000600941961293,0.0003004709806465,5.2111730895,20.844692358,42.888427734375,0.3295207626894969
clifford_t,ct_n20_d12,0.1,5,0.3295385714352256,1.7808745728709052e-05,0.0005390373977808,0.0002410648527705,4.9718079196,24.859039598000003,42.888427734375,0.3295207626894969
clifford_t,ct_n20_d12,0.1,6,0.3295764302962823,5.566760678532568e-05,0.0004909672220506,0.0002004365290759,4.886161900833334,29.316971405,42.888427734375,0.3295207626894969
clifford_t,ct_n20_d12,0.1,7,0.3295722897259161,5.152703641914114e-05,0.0004483235675277,0.0001694503809382,4.963573762285714,34.745016336,42.888427734375,0.3295207626894969
clifford_t,ct_n20_d12,0.1,8,0.3296274494638801,0.0001066867743831,0.0004434200752545,0.0001567726710633,5.058769978375,40.470159827,42.89859008789063,0.3295207626894969
clifford_t,ct_n20_d12,0.1,9,0.3296120487552994,9.128606580249832e-05,0.0004173467732826,0.0001391155910942,5.069496444111112,45.625467997,42.89859008789063,0.3295207626894969
clifford_t,ct_n20_d12,0.1,10,0.3297174881130759,0.0001967254235789,0.0005157516487294,0.0001630949916972,5.0364990938,50.364990938,42.918411254882805,0.3295207626894969
clifford_t,ct_n20_d12,0.2,1,0.3287656772193111,0.0007550854701858,,,5.365202885,5.365202885,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,2,0.3292868036729216,0.0002339590165753,0.0007369840984073,0.0005211264536104,5.519069122,11.038138244,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,3,0.3293667032316879,0.000154059457809,0.0005391888343853,0.0003113008186763,5.639027288,16.917081864,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,4,0.3291959519509065,0.0003248107385904,0.0005571717858713,0.0002785858929356,5.90789451225,23.631578049,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,5,0.3291901365468812,0.0003306261426157,0.0004827001075701,0.0002158700506546,5.9078090906,29.539045453,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,6,0.3291662011655625,0.0003545615239344,0.0004357028000275,0.0001778749232615,5.903667488166667,35.422004929,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,7,0.3291796486220495,0.0003411140674474,0.0003993285367066,0.0001509319999338,5.981300804857143,41.869105634,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,8,0.3291884745525743,0.0003322881369225,0.0003705482263097,0.0001310085817901,6.069059133,48.552473064,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,9,0.3291677158517777,0.0003530468377192,0.0003521662284312,0.0001173887428104,6.134492647111111,55.210433824,46.023468017578125,0.3295207626894969
clifford_t,ct_n20_d12,0.2,10,0.3291850670728969,0.0003356956166,0.0003365287272316,0.0001064197276129,6.0633201786,60.633201786,46.023468017578125,0.3295207626894969
ising,ising_n20_s12,0.05,1,0.7137227278847865,0.0003860655717894,,,19.379352557,19.379352557,31.35580444335937,0.7141087934565759
ising,ising_n20_s12,0.05,2,0.7137077054055814,0.0004010880509944,2.1244993832235615e-05,1.5022479205040185e-05,18.5773882695,37.154776539,31.386932373046875,0.7141087934565759
ising,ising_n20_s12,0.05,3,0.7137017197825478,0.0004070736740281,1.825261435433311e-05,1.0538151810888648e-05,17.671742395333332,53.015227186,31.386932373046875,0.7141087934565759
