family,case,tail_ratio,passes,seed,pass_estimate,pass_absolute_error,mean_estimate,mean_absolute_error,empirical_sd,empirical_stderr,pass_runtime_s,mean_runtime_s,total_runtime_s,max_peak_rss_mb,pass_max_importance_multiplier,max_importance_multiplier,pass_max_post_truncation_abs_coefficient,max_post_truncation_abs_coefficient,reference
clifford_t,ct_n20_d12,1.00,1,202707160301,0.33128348963959597,0.0017627269500989917,0.33128348963959597,0.0017627269500989917,,,0.963988391,0.963988391,0.963988391,87.332,136.51740009777879,136.51740009777879,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,2,202707160302,0.32686882228216652,0.0026519404073304664,0.32907615596088124,0.00044460672861573736,0.0031216412251212659,0.0022073336787147291,0.777862396,0.870925393,1.741850787,87.332,111.3235618530119,136.51740009777879,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,3,202707160303,0.33136325877653555,0.0018424960870385698,0.32983852356609938,0.00031776087660240204,0.0025721460039520019,0.0014850291877767086,0.762113707,0.834654831,2.503964494,87.332,535.44050364166139,535.44050364166139,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,4,202707160304,0.33196453793079322,0.0024437752412962421,0.33037002715727282,0.00084926446777583431,0.0023538495378461807,0.0011769247689230903,0.836257651,0.835055536,3.340222145,87.332,731.42479493196208,731.42479493196208,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,5,202707160305,0.32297905459017318,0.0065417080993238064,0.32889183264385291,0.00062893004564407162,0.0038833942412067695,0.0017367067013539102,1.001690356,0.868382500,4.341912501,88.246,1283.4899045416425,1283.4899045416425,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,6,202707160306,0.33292016241173467,0.0033993997222376837,0.32956322093849982,4.2458249002841342e-05,0.0038430683209180736,0.0015689260721506323,0.951453531,0.882227672,5.293366032,88.246,208.90677365910406,1283.4899045416425,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,7,202707160307,0.32596714628558388,0.0035536164039131068,0.32904949598808331,0.0004712667014136751,0.0037623182178191132,0.001422022622491016,0.891920231,0.883612323,6.185286263,88.246,1532.6851137511262,1532.6851137511262,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,8,202707160308,0.33538758521391226,0.0058668225244152827,0.32984175714131192,0.00032099445181493769,0.0041417764199167652,0.0014643390963408431,0.783931978,0.871152280,6.969218241,88.246,578.031136405908,1532.6851137511262,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,9,202707160309,0.33230884761687313,0.0027880849273761443,0.33011587830526312,0.00059511561576613969,0.0039605939751810081,0.0013201979917270028,0.794237841,0.862606231,7.763456082,88.246,333.87421768959729,1532.6851137511262,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,10,202707160310,0.32999929977467113,0.00047853708517414661,0.33010422045220394,0.00058345776270696259,0.0037342657851657515,0.0011808785269560788,0.782988072,0.854644415,8.546444154,88.246,110.2924550187788,1532.6851137511262,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,11,202707160311,0.33929172598118806,0.0097709632916910816,0.3309394482275661,0.0014186855380691199,0.0044971020294112592,0.0013559272795911784,0.776888459,0.847575692,9.323332613,88.246,2396.9337025322798,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,12,202707160312,0.32858699713011869,0.00093376555937829675,0.33074341063611218,0.0012226479466151963,0.0043412621117080857,0.0012532144244086934,0.790326649,0.842804939,10.113659262,88.246,323.56722402534194,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,13,202707160313,0.32703135404850375,0.0024894086409932292,0.3304578678216808,0.00093710513218381308,0.0042820510756365962,0.0011876272859510366,0.771948545,0.837354447,10.885607807,88.246,283.81163788351591,2396.9337025322798,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,14,202707160314,0.33117129256134781,0.0016505298718508254,0.33050882673165699,0.00098806404216000843,0.0041184776545598262,0.0011007094527462279,0.817929715,0.835966966,11.703537522,88.246,322.84958152136062,2396.9337025322798,1,1,0.32952076268949698
