family,case,budget_s,memory_limit_mb,measured_memory_mb,samples,estimate,std_error,abs_error,reference,extrapolated_seconds_to_4.7e-4_se
clifford_t,ct_n20_d12,30.0092,8,5.64,371,0.172188757660496,0.178851673552612,0.157332005039504,0.329520762689497,4345553.81
ising,ising_n20_s12,15.0096,8,4.10,52,2.83364824391060,5.95415203634105,2.11953945045402,0.714108793456576,2408864648.42
clifford_t_depol,ct_depol_n20_d12,15.0102,8,5.64,168,0.055336454717884,0.0420557509323821,0.0109852759881688,0.0663217307060528,120182.89
