family,case,method,tail_ratio,passes,status,cumulative_runtime_s,mean_runtime_s,peak_memory_mb,cumulative_mean,reference,abs_error_of_cumulative_mean,sample_stddev,standard_error
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,1,ok,0.799880518,0.799880518,4.66795349121094,0.0662588492993086,0.0663217307060528,6.288140674419462e-05,,
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,2,ok,1.455345689,0.7276728445,4.66818237304688,0.06627146640728984,0.0663217307060528,5.026429876295313e-05,1.7843285225007355e-05,1.261710798124843e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,3,ok,2.075476241,0.6918254136666667,4.66818237304688,0.06627567210995026,0.0663217307060528,4.605859610253005e-05,1.4568981378736717e-05,8.41140532083229e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,4,ok,2.765390413,0.69134760325,4.71047973632812,0.0662819466513162,0.0663217307060528,3.97840547365913e-05,1.7291123629017957e-05,8.645561814508978e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,5,ok,3.458113559,0.6916227118,5.03448486328125,0.06628397075444384,0.0663217307060528,3.775995160895662e-05,1.5643598838570243e-05,6.996030083155964e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,6,ok,4.16506323,0.694177205,5.03448486328125,0.06628322802592483,0.0663217307060528,3.850268012796365e-05,1.4109841303692093e-05,5.760318590948702e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,7,ok,4.852528357000001,0.6932183367142858,5.03448486328125,0.06629283139765822,0.0663217307060528,2.8899308394572665e-05,2.848648086188404e-05,1.0766877726849439e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,8,ok,5.529775525000001,0.6912219406250001,5.03448486328125,0.0662938237573777,0.0663217307060528,2.7906948675091026e-05,2.652229549666105e-05,9.377047499161229e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,9,ok,6.240392437000001,0.6933769374444445,5.03448486328125,0.06629256206054707,0.0663217307060528,2.9168645505728286e-05,2.5096415055592372e-05,8.365471685197457e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,10,ok,6.953285543000001,0.6953285543000001,5.03448486328125,0.06629338288203376,0.0663217307060528,2.8347824019031576e-05,2.3803075668007852e-05,7.527193442823875e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,1,ok,1.638908992,1.638908992,9.59042358398438,0.0663531377992194,0.0663217307060528,3.14070931666105e-05,,
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,2,ok,3.1921688689999996,1.5960844344999998,9.73045349121094,0.0663408435080502,0.0663217307060528,1.911280199740073e-05,1.7386753311250418e-05,1.229429116920283e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,3,ok,4.630188538,1.5433961793333333,9.73045349121094,0.06635608844661726,0.0663217307060528,3.435774056446961e-05,2.9126861332694935e-05,1.6816401231080322e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,4,ok,6.023289301,1.50582232525,9.73320007324219,0.0663562882919154,0.0663217307060528,3.455758586259905e-05,2.3785341143277747e-05,1.1892670571638873e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,5,ok,7.26860483,1.4537209660000001,9.73320007324219,0.06634461393877678,0.0663217307060528,2.2883232723980296e-05,3.3252961462140866e-05,1.4871176456505554e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,6,ok,8.667632801,1.4446054668333332,9.73320007324219,0.06634903612976999,0.0663217307060528,2.730542371719158e-05,3.165347051879647e-05,1.2922475226546946e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,7,ok,10.13970478,1.4485292542857144,9.73320007324219,0.06635119591746994,0.0663217307060528,2.946521141714009e-05,2.9455128759960456e-05,1.1132992219177386e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,8,ok,11.441204118,1.43015051475,9.73320007324219,0.06635388544759029,0.0663217307060528,3.215474153749065e-05,2.8311299381333628e-05,1.0009555888371757e-05
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,9,ok,12.838287465,1.426476385,9.73320007324219,0.06635101829466103,0.0663217307060528,2.928758860823444e-05,2.7844632460398482e-05,9.28154415346616e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,10,ok,14.438172705000001,1.4438172705,9.73320007324219,0.06635239224660819,0.0663217307060528,3.0661540555393385e-05,2.66092828635535e-05,8.41459407525165e-06
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,1,ok,6.408314903,6.408314903,31.7539672851562,0.0662956676602663,0.0663217307060528,2.6063045786492434e-05,,
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,2,ok,11.531308863,5.7656544315,31.7539672851562,0.06630361957216095,0.0663217307060528,1.8111133891843267e-05,1.1245701648208786e-05,7.951911894649166e-06
